id,uri,siglaTipo,codTipo,numero,ano,ementa
2482388,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482388,PL,139,101,2025,"Dispõe sobre a criação e regulamentação de cordões identificadores para pessoas com Transtorno do Espectro Autista (TEA) e outras condições neurodivergentes, como instrumento de inclusão e acesso a direitos, e dá outras providências."
2482390,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482390,PL,139,102,2025,"Altera o art. 92 do Código Penal para tratar da inabilitação para o exercício de atividade empresarial, quando a empresa for utilizada como meio para a prática de crime de estelionato, bem como da reabilitação após cumprimento da sentença penal condenatória."
2482392,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482392,PL,139,103,2025,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tipificar crimes relacionados a brigas entre torcidas organizadas."
2482395,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482395,PL,139,104,2025,Dispõe sobre a regulamentação do ofício da  Primeira-Dama da Presidência  da República Federativa do Brasil.
2482402,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482402,PL,139,105,2025,Inclui fórmulas de aminoácidos essenciais no Sistema Único de Saúde (SUS).
2482404,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482404,PL,139,106,2025,Dispõe sobre a proibição do uso de símbolos cristãos em eventos públicos de celebração ou visibilidade LGBTQIA+ e estabelece medidas de respeito à diversidade religiosa e cultural.
2482405,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482405,PL,139,107,2025,"Altera o art. 233 da Lei nº 7.565, de 1986 (Código Brasileiro de Aeronáutica), para conceder direitos a pessoa com deficiência, no serviço de transporte aéreo."
2482406,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482406,PL,139,108,2025,Dispõe sobre a autorização para o saque do Fundo de Garantia do Tempo de Serviço (FGTS) por pessoas com Transtorno do Espectro Autista (TEA) e seus responsáveis legais para custeio de tratamento e terapias.
2482411,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482411,PL,139,109,2025,Institui o Sistema Nacional de Monitoramento de Doenças Raras
2482412,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482412,PL,139,110,2025,"Insere parágrafo no art. 35-D da Lei nº 9.394, de 1996, de diretrizes e bases da educação nacional, para dispor sobre a abordagem da educação financeira em todas as áreas do conhecimento do currículo do ensino médio."
2482415,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482415,PL,139,111,2025,"Dispõe sobre a instituição do Fundo Nacional de Apoio às Crianças com Deficiência (FNACD), de natureza contábil, destinado a financiar o apoio, tratamento e inclusão de crianças com deficiência, e sobre a concessão de incentivo fiscal do Imposto sobre a Renda da Pessoa Jurídica (IRPJ)."
2482416,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482416,PL,139,112,2025,"Altera a Lei n° 11.343, de 23 de agosto de 2006, que “institui o Sistema Nacional de Políticas Públicas sobre Drogas - Sisnad; prescreve medidas para prevenção do uso indevido, atenção e reinserção social de usuários e dependentes de drogas; estabelece normas para repressão à produção não autorizada e ao tráfico ilícito de drogas; define crimes e dá outras providências” para dispor sobre a criação do Conselho Nacional das Comunidades Terapêuticas acolhedoras, com a finalidade de propor, desenvolver e fiscalizar as políticas públicas relacionadas ao acolhimento de dependentes químicos em comunidades terapêuticas acolhedoras no Brasil."
2482417,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482417,PL,139,113,2025,Proíbe a utilização de polimetilmetacrilato (PMMA) como preenchimento estético.
2482418,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482418,PL,139,114,2025,Institui a Política Nacional de Atenção e Cuidados às Famílias Atípicas e dá outras providências.
2482423,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482423,PL,139,115,2025,"Declara o Estado de Santa Catarina como o ""Estado Referência do Cooperativismo Nacional”."
2482425,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482425,PL,139,116,2025,"Altera a Lei nº 14.113, de 25 de dezembro de 2020, para dispor sobre a possibilidade de contratação de profissionais de saúde integrantes de equipes multiprofissionais que atendam aos educandos, com deficiência, transtornos globais do desenvolvimento, dislexia, Transtorno do Déficit de Atenção com Hiperatividade (TDAH) ou outro transtorno de aprendizagem e altas habilidades ou superdotação."
2482427,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482427,PL,139,117,2025,"Altera a Lei nº 12.527, de 18 de novembro de 2011, para considerar de interesse público as informações relativas ao exercício de atividades representativas pelo cônjuge de Presidente da República, de Governador de Estado, de Governador do Distrito Federal e de Prefeito."
2482428,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482428,PL,139,118,2025,"Estabelece a obrigatoriedade de que as Secretarias de Administração Penitenciária ou órgãos congêneres comuniquem eletronicamente aos ofendidos, às testemunhas e aos condutores da prisão em flagrante delito, por meio de aplicativo de mensagens multiplataforma, sobre a progressão de regime ou sobre qualquer hipótese de soltura do autor de crime."
2482432,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482432,PL,139,119,2025,Dispõe sobre a obrigatoriedade da instalação de sensores tecnológicos para monitoramento da quantidade de passageiros em todos os sistemas de transporte público coletivo e dá outras providências.
2482438,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482438,PL,139,120,2025,Institui a Política Nacional de Atenção e Apoio aos Brasileiros Deportados e Retornados.
2482444,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482444,PL,139,122,2025,"Altera a Lei nº 8.078, de 11 de setembro de 1990, para dispor sobre a oferta e a apresentação de produtos e serviços no comércio eletrônico."
2482448,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482448,PL,139,125,2025,"Altera a Lei nº 13.415, de 16 de fevereiro de 2017, a fim de fixar parâmetros para a expansão da Política de Fomento à Implementação de Escolas de Ensino Médio em Tempo Integral."
2482465,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482465,PL,139,127,2025,"Dispõe sobre a suspensão da remuneração e proventos de militares investigados por violações de direitos humanos e crimes contra a humanidade, praticados durante o período da Ditadura Militar, até a prolação de decisão definitiva no processo judicial."
2482468,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482468,PL,139,128,2025,"Altera a Lei nº 9.472, de 16 de julho de 1997, para garantir o direito de o consumidor de telecomunicações cancelar o contrato de prestação de serviço, vedando-se às operadoras o condicionamento ao adimplemento de débitos preexistentes."
2482469,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482469,PL,139,129,2025,Dispõe sobre a possibilidade de criação do cargo efetivo de agente de proteção da infância e da juventude no âmbito estadual.
2482470,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482470,PL,139,130,2025,Institui a Política Nacional de Saúde Mental para Pessoas Trans e Travestis e autoriza a criação de ambulatórios de atendimento multidisciplinar para pessoas trans e travestis em todas as capitais brasileiras.
